"","MVP_Effic_2021","MVP_Ineffic_2021","maxRet_Effic_2021","maxRet_Ineffic_2021","maxSR_Effic_2021","maxSR_Ineffic_2021","minCVaR_Effic_2021","minCVaR_Ineffic_2021","EW_Effic_2021","EW_Ineffic_2021"
"Semi Deviation",0.0421,0.0539,0.0459,0.0292,0.043,0.0292,0.044,0.0253,0.0401,0.0543
"Gain Deviation",0.0497,0.1158,0.0739,0.0293,0.0532,0.0293,0.0622,0.024,0.0402,0.1172
"Loss Deviation",0.0412,0.05,0.044,0.0273,0.042,0.0273,0.0425,0.0261,0.0392,0.0503
"Downside Deviation (MAR=0%)",0.0382,0.0484,0.041,0.0281,0.0389,0.0281,0.0395,0.0265,0.0368,0.0485
"Downside Deviation (Rf=0%)",0.0382,0.0484,0.041,0.0281,0.0389,0.0281,0.0395,0.0265,0.0368,0.0485
"Downside Deviation (0%)",0.0382,0.0484,0.041,0.0281,0.0389,0.0281,0.0395,0.0265,0.0368,0.0485
"Maximum Drawdown",0.581,0.7388,0.613,0.5286,0.5899,0.5286,0.5935,0.6123,0.5536,0.7378
"Historical VaR (95%)",-0.0786,-0.0958,-0.0841,-0.0648,-0.0801,-0.0648,-0.0819,-0.061,-0.0735,-0.1003
"Historical ES (95%)",-0.1247,-0.1598,-0.1311,-0.0885,-0.1271,-0.0885,-0.1282,-0.0875,-0.118,-0.1589
"Modified VaR (95%)",-0.0684,NA,-0.0169,-0.0639,-0.062,-0.0639,-0.0425,-0.0591,-0.0823,NA
"Modified ES (95%)",-0.0684,-0.1172,-0.1065,-0.0868,-0.062,-0.0868,-0.0425,-0.0908,-0.1282,NA
