"","From","Trough","To","Depth","Length","To Trough","Recovery","strategy"
"1",2021-05-12,2021-07-20,2021-11-07,-0.581,180,70,110,"MVP_Effic_2021"
"2",2021-02-20,2021-02-28,2021-04-01,-0.2889,41,9,32,"MVP_Effic_2021"
"3",2021-11-09,2021-12-31,NA,-0.2397,54,53,NA,"MVP_Effic_2021"
"4",2021-01-10,2021-01-12,2021-01-17,-0.1613,8,3,5,"MVP_Effic_2021"
"5",2021-04-13,2021-04-18,2021-04-29,-0.1537,17,6,11,"MVP_Effic_2021"
"6",2021-05-08,2021-12-13,NA,-0.7388,239,220,NA,"MVP_Ineffic_2021"
"7",2021-04-20,2021-04-23,2021-05-03,-0.3642,14,4,10,"MVP_Ineffic_2021"
"8",2021-02-09,2021-02-28,2021-04-11,-0.2952,62,20,42,"MVP_Ineffic_2021"
"9",2021-01-30,2021-01-30,2021-02-04,-0.2607,6,1,5,"MVP_Ineffic_2021"
"10",2021-01-10,2021-01-27,2021-01-28,-0.2519,19,18,1,"MVP_Ineffic_2021"
"11",2021-05-04,2021-05-23,NA,-0.613,243,20,NA,"maxRet_Effic_2021"
"12",2021-02-20,2021-02-28,2021-04-04,-0.3795,44,9,35,"maxRet_Effic_2021"
"13",2021-04-13,2021-04-18,2021-04-29,-0.1974,17,6,11,"maxRet_Effic_2021"
"14",2021-01-18,2021-01-21,2021-02-01,-0.1501,15,4,11,"maxRet_Effic_2021"
"15",2021-01-10,2021-01-12,2021-01-17,-0.134,8,3,5,"maxRet_Effic_2021"
"16",2021-04-14,2021-07-20,2021-10-19,-0.5286,189,98,91,"maxRet_Ineffic_2021"
"17",2021-11-09,2021-12-31,NA,-0.315,54,53,NA,"maxRet_Ineffic_2021"
"18",2021-01-09,2021-01-27,2021-02-08,-0.2541,31,19,12,"maxRet_Ineffic_2021"
"19",2021-02-22,2021-02-28,2021-03-11,-0.2202,18,7,11,"maxRet_Ineffic_2021"
"20",2021-03-14,2021-03-25,2021-04-13,-0.1614,31,12,19,"maxRet_Ineffic_2021"
"21",2021-05-12,2021-06-22,2021-11-08,-0.5899,181,42,139,"maxSR_Effic_2021"
"22",2021-02-20,2021-02-28,2021-04-01,-0.329,41,9,32,"maxSR_Effic_2021"
"23",2021-11-09,2021-12-31,NA,-0.2295,54,53,NA,"maxSR_Effic_2021"
"24",2021-04-13,2021-04-18,2021-04-29,-0.1635,17,6,11,"maxSR_Effic_2021"
"25",2021-01-10,2021-01-12,2021-01-17,-0.1588,8,3,5,"maxSR_Effic_2021"
"26",2021-04-14,2021-07-20,2021-10-19,-0.5286,189,98,91,"maxSR_Ineffic_2021"
"27",2021-11-09,2021-12-31,NA,-0.315,54,53,NA,"maxSR_Ineffic_2021"
"28",2021-01-09,2021-01-27,2021-02-08,-0.2541,31,19,12,"maxSR_Ineffic_2021"
"29",2021-02-22,2021-02-28,2021-03-11,-0.2202,18,7,11,"maxSR_Ineffic_2021"
"30",2021-03-14,2021-03-25,2021-04-13,-0.1614,31,12,19,"maxSR_Ineffic_2021"
"31",2021-05-12,2021-06-22,NA,-0.5935,235,42,NA,"minCVaR_Effic_2021"
"32",2021-02-20,2021-02-28,2021-04-01,-0.3285,41,9,32,"minCVaR_Effic_2021"
"33",2021-04-13,2021-04-18,2021-04-29,-0.1819,17,6,11,"minCVaR_Effic_2021"
"34",2021-01-18,2021-01-21,2021-02-01,-0.1436,15,4,11,"minCVaR_Effic_2021"
"35",2021-01-10,2021-01-12,2021-01-17,-0.1436,8,3,5,"minCVaR_Effic_2021"
"36",2021-05-08,2021-12-13,NA,-0.7512,239,220,NA,"minCVaR_Ineffic_2021"
"37",2021-04-20,2021-04-23,2021-05-03,-0.3764,14,4,10,"minCVaR_Ineffic_2021"
"38",2021-02-09,2021-02-28,2021-04-11,-0.3269,62,20,42,"minCVaR_Ineffic_2021"
"39",2021-01-30,2021-01-30,2021-02-04,-0.3139,6,1,5,"minCVaR_Ineffic_2021"
"40",2021-01-10,2021-01-27,2021-01-28,-0.2558,19,18,1,"minCVaR_Ineffic_2021"
"41",2021-05-12,2021-07-20,2021-09-05,-0.5536,117,70,47,"EW_Effic_2021"
"42",2021-09-06,2021-09-21,2021-11-08,-0.3194,64,16,48,"EW_Effic_2021"
"43",2021-11-10,2021-12-13,NA,-0.2914,53,34,NA,"EW_Effic_2021"
"44",2021-02-20,2021-02-23,2021-03-17,-0.2052,26,4,22,"EW_Effic_2021"
"45",2021-01-10,2021-01-12,2021-01-19,-0.1763,10,3,7,"EW_Effic_2021"
"46",2021-05-08,2021-12-13,NA,-0.7378,239,220,NA,"EW_Ineffic_2021"
"47",2021-04-20,2021-04-25,2021-05-03,-0.3602,14,6,8,"EW_Ineffic_2021"
"48",2021-02-09,2021-02-28,2021-04-05,-0.3016,56,20,36,"EW_Ineffic_2021"
"49",2021-01-30,2021-01-30,2021-02-04,-0.2458,6,1,5,"EW_Ineffic_2021"
"50",2021-01-10,2021-01-27,2021-01-28,-0.2375,19,18,1,"EW_Ineffic_2021"
