"","MVP_Effic_2022","MVP_Ineffic_2022","maxRet_Effic_2022","maxRet_Ineffic_2022","maxSR_Effic_2022","maxSR_Ineffic_2022","minCVaR_Effic_2022","minCVaR_Ineffic_2022","EW_Effic_2022","EW_Ineffic_2022"
"Annualized Return",-0.5435,-0.5792,-0.5435,-0.5792,-0.5375,-0.6338,-0.55,-0.55,-0.438,-0.5616
"Annualized Std Dev",0.5516,0.6882,0.5516,0.6882,0.6526,0.7538,0.5564,0.5564,0.5434,0.6709
"Annualized Sharpe (Rf=117.72%)",-1.7001,-1.3736,-1.7001,-1.3736,-1.4385,-1.2636,-1.687,-1.687,-1.7017,-1.4051
"Omega (L = 0%)",0.813459425281696,0.860122545061848,0.813459425281696,0.860122545061848,0.86556122329044,0.852366604024361,0.811974001098377,0.811974001098377,0.873091401649586,0.861410574149605
"Calmar Ratio",-0.897146885920326,-0.833184928252349,-0.897146885920326,-0.833184928252349,-0.769781576305668,-0.877545879534143,-0.89829763885605,-0.89829763885605,-0.801697476828486,-0.827035990244778
"Modigliani-SP500 (Rf=0.0047)",0.000378100770220504,0.00121869478031081,0.000378100770220504,0.00121869478031081,0.00113088715123578,0.00139434350700771,0.000395247329571686,0.000395247329571686,0.000655843469988168,0.00117657304075489
"Modigliani-Nasdaq100 (Rf=0.0047)",-0.0011984593655838,-4.91809619016757e-05,-0.0011984593655838,-4.91809619016757e-05,-0.000169233461161832,0.000190969795543446,-0.00117501621690178,-0.00117501621690178,-0.000818723508806698,-0.000106770719877637
"Modigliani-Russel1000 (Rf=0.0047)",0.000257582179687335,0.00112177326494807,0.000257582179687335,0.00112177326494807,0.00103150070845392,0.00130235278600908,0.000275210075623202,0.000275210075623202,0.000543121646129259,0.00107846908792212
"Modigliani-IBrX50 (Rf=0.0047)",0.00103149594081275,0.00174415769673173,0.00103149594081275,0.00174415769673173,0.00166971374594392,0.00189307397318641,0.00104603291936423,0.00104603291936423,0.00126696823508813,0.00170844657755416
"Modigliani-Ibovespa (Rf=0.0047)",0.00122183128500688,0.00189722611468097,0.00122183128500688,0.00189722611468097,0.00182667503060075,0.00203835517392466,0.00123560808735555,0.00123560808735555,0.0014449901240553,0.00186338242227839
