"","MVP_Effic_2021","MVP_Ineffic_2021","maxRet_Effic_2021","maxRet_Ineffic_2021","maxSR_Effic_2021","maxSR_Ineffic_2021","minCVaR_Effic_2021","minCVaR_Ineffic_2021","EW_Effic_2021","EW_Ineffic_2021"
"Annualized Return",3.4953,4.2858,3.4953,4.2858,3.8517,0.3814,4.699,-0.3501,2.7447,4.2854
"Annualized Std Dev",1.0282,1.8881,1.0282,1.8881,1.0488,0.6682,1.1724,0.5267,0.9132,1.722
"Annualized Sharpe (Rf=197.24%)",0,0,0,0,0,0,0,-1.7505,0,0
"Omega (L = 0%)",1.44087343713904,1.49980343481157,1.44087343713904,1.49980343481157,1.45966801099319,1.14915518481695,1.50283554822425,0.904169653411733,1.39990436975132,1.4866142372432
"Calmar Ratio",5.82432683485209,5.72231232388827,5.82432683485209,5.72231232388827,6.4579749598166,0.71869276518303,7.73435384501758,-1.31918626832857,4.95238754011378,5.78908604739471
"Modigliani-SP500 (Rf=0.0078)",NA,NA,NA,NA,NA,NA,NA,0.0039861667771434,NA,NA
"Modigliani-Nasdaq100 (Rf=0.0078)",NA,NA,NA,NA,NA,NA,NA,0.0022410405327304,NA,NA
"Modigliani-Russel1000 (Rf=0.0078)",NA,NA,NA,NA,NA,NA,NA,0.00385332531644068,NA,NA
"Modigliani-IBrX50 (Rf=0.0078)",NA,NA,NA,NA,NA,NA,NA,0.00452020691139606,NA,NA
"Modigliani-Ibovespa (Rf=0.0078)",NA,NA,NA,NA,NA,NA,NA,0.00468150503995767,NA,NA
